Loading parameters

Initial system energy
-531585.8493892984 kJ/mol

Energy minimization: 5000 steps
-493690.8469051649 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-453693.56672341796	270.465561983258	0	--
1.6%	2000	1.9999999999998905	-445289.15584528306	285.36583749128357	18.5	9:33
2.4%	3000	2.9999999999997806	-441510.67687179893	293.3838502513641	18.5	9:29
3.2%	4000	3.9999999999996705	-438925.6152715818	296.32852937022415	18.5	9:24
4.0%	5000	5.000000000000004	-437959.2442009845	300.75547693135866	18.3	9:27
4.8%	6000	6.000000000000338	-437511.9950912809	303.20703852666946	18.3	9:21
5.6%	7000	7.000000000000672	-437046.948879465	303.9939423634343	18.4	9:15
6.4%	8000	8.000000000001005	-436814.9653445878	302.20834080486026	18.4	9:10
7.2%	9000	9.000000000000451	-436940.88459264906	305.5753639310784	18.4	9:05
8.0%	10000	9.999999999999897	-436525.5484214588	304.4895319964267	18.3	9:03
8.8%	11000	10.999999999999343	-436018.4402822035	303.6835240481966	18.3	8:57
9.6%	12000	11.999999999998789	-436506.6231253366	301.3407375800528	18.3	8:52
10.4%	13000	12.999999999998234	-435582.7057102495	302.31605433290457	18.3	8:48
11.2%	14000	13.99999999999768	-435514.3497864739	303.0839986047689	18.3	8:43
12.0%	15000	14.999999999997126	-436657.6598859099	306.0113927138836	18.3	8:40
12.8%	16000	15.999999999996572	-435812.560878986	301.4923337897453	18.3	8:35
13.6%	17000	16.999999999997794	-437502.309125992	302.7358140232507	18.3	8:30
14.4%	18000	17.999999999999016	-436797.69965889724	303.09276781619695	18.3	8:25
15.2%	19000	19.000000000000238	-436188.8042668137	304.176410398263	18.3	8:20
16.0%	20000	20.00000000000146	-436273.8350947737	302.95817894042744	18.2	8:18
16.8%	21000	21.000000000002682	-436889.121990738	305.9419751309186	18.2	8:13
17.6%	22000	22.000000000003904	-436615.82781228283	300.1075688248388	18.2	8:08
18.4%	23000	23.000000000005127	-436263.9255939671	299.1048029960824	18.2	8:03
19.2%	24000	24.00000000000635	-436477.7491528918	303.53500479851465	18.2	7:58
20.0%	25000	25.00000000000757	-436154.29177154554	302.076819174694	18.2	7:54
20.8%	26000	26.000000000008793	-436787.5280344668	306.75963383016375	18.2	7:50
21.6%	27000	27.000000000010015	-436955.96388951177	303.8801710818686	18.2	7:45
22.4%	28000	28.000000000011237	-436994.1057932959	303.75312183062624	18.2	7:40
23.2%	29000	29.00000000001246	-437460.9674983942	301.2161537517676	18.2	7:35
24.0%	30000	30.00000000001368	-436478.1062660832	301.42393330174895	18.2	7:31
24.8%	31000	31.000000000014904	-437549.83091479354	301.0945820014675	18.2	7:26
25.6%	32000	32.00000000001612	-436562.8178624739	300.5783162196933	18.2	7:21
26.4%	33000	33.00000000001379	-436601.2856451147	303.2930972949051	18.2	7:16
27.2%	34000	34.00000000001146	-437314.4863515259	302.67709814233046	18.2	7:12
28.0%	35000	35.00000000000913	-436549.74225256266	303.6845193241299	18.2	7:07
28.8%	36000	36.0000000000068	-436322.0123932059	302.20920521215896	18.2	7:03
29.6%	37000	37.00000000000447	-435867.3024252658	303.7651931658953	18.2	6:58
30.4%	38000	38.00000000000214	-436521.79027933115	305.59431093050256	18.2	6:53
31.2%	39000	38.99999999999981	-435921.0299863317	304.6615201543128	18.2	6:48
32.0%	40000	39.99999999999748	-436877.96207795525	304.99064537647604	18.2	6:44
32.8%	41000	40.99999999999515	-436760.8592504286	302.89509809724274	18.2	6:39
33.6%	42000	41.999999999992816	-436594.099444496	303.1772202970543	18.2	6:34
34.4%	43000	42.999999999990486	-436782.92447772203	304.77457943046494	18.2	6:30
35.2%	44000	43.999999999988155	-436975.06202314934	305.2486401646505	18.2	6:25
36.0%	45000	44.999999999985825	-437516.71114427084	306.2654236676095	18.1	6:20
36.8%	46000	45.999999999983494	-437293.2707710904	305.46765698841375	18.2	6:16
37.6%	47000	46.99999999998116	-437170.2949683699	302.05517843373104	18.2	6:11
38.4%	48000	47.99999999997883	-436534.62337054545	301.7039911039658	18.2	6:06
39.2%	49000	48.9999999999765	-436171.83636476146	301.3667811064391	18.2	6:01
40.0%	50000	49.99999999997417	-436315.8635192425	302.99957252735106	18.1	5:57
